,input,output,prediction,result,Levenshtein_dist
440,Concept and feasibility studies,Concept studies and feasibility studies,<extra_id_0>  <extra_id_1> and and and and and and and and and and and and and and and and,0,78
441,Basic and server platforms,Basic platforms and server platforms,<extra_id_0> and a s and a s and a s and  <extra_id_1>,0,41
442,Night and on-call duty,Night duty and on-call duty,<extra_id_0> duty,0,20
445,Purchasing and marketing team,Purchasing team and marketing team,<extra_id_0> and services and services and services and services and services and and and,0,70
448,Bachelor's and Master's level,Bachelor's level and Master's level,<extra_id_0> and Master's and Master's and Master and Master and Master and Master and Master,0,71
449,Safety and quality requirements,Safety requirements and quality requirements,<extra_id_0> and a <extra_id_1> and a  <extra_id_2> and a s and a ,0,54
450,Quality and safety requirements,Quality requirements and safety requirements,<extra_id_0>,0,40
452,Quality of work and life,Quality of work and quality of life,<extra_id_0> and and and and and and and and and and and and and and and and and and,0,72
453,Road and rail transport,Road transport and rail transport,<extra_id_0> and and and and and and and and and and and and and and and and and and,0,70
454,Pulse and tongue diagnostics,Pulse diagnostics and tongue diagnostics,<extra_id_0> Pulse and tongue diagnostics <extra_id_1> pulse and tongue diagnostics Pulse and,0,53
455,Measurement and control technology,Measurement technology and control technology,<extra_id_0> control technology technology <extra_id_1> control technologyMeasurement and control technology technologyMeasurement and control technology technology <extra_id_2> control,0,140
456,Living and working conditions,Living conditions and working conditions,<extra_id_0>,0,36
457,Environmental and natural sciences,Environmental sciences and natural sciences,<extra_id_0> Environmental and natural sciences and natural sciences <extra_id_1> Environmental and natural sciences and,0,77
458,Premium and benefit statements,Premium statements and benefit statements,<extra_id_0> and related,0,30
460,High-speed and high-performance milling machines,High-speed milling machines and high-performance milling machines,<extra_id_0>,0,61
461,Repair and warranty orders,Repair orders and warranty orders,<extra_id_0> Repair and warranty orders repair repair repair repair repair repair repair repair repair repair repair repair,0,99
462,Bachelor and Master students,Bachelor students and Master students,<extra_id_0> and a s and a s and a s and  <extra_id_1>,0,40
465,Operating theatre and storage staff,Operating theatre staff and storage staff,<extra_id_0> staff staff staff staff staff staff staff staff staff staff staff staff staff staff staff staff staff staff,0,95
466,Fire alarm and extinguishing systems,Fire alarm systems and extinguishing systems,<extra_id_0> and and and and and and and and and and and and and and and and and and,0,71
468,Ability to work in a team and communicate,Ability to work in a team and Ability to communicate,<extra_id_0> and communication skills,0,42
470,Private and corporate clients,Private clients and corporate clients,<extra_id_0> corporate clients clients clients clients clients clients clients clients clients clients clients clients clients clients clients clients,0,123
471,Land acquisition and land sale projects,Land acquisition projects and land sale projects,<extra_id_0> Land acquisition and land sale projects projects Land acquisition and land sale projects projects Land ,0,68
472,Expansion and maintenance projects,Expansion projects and maintenance projects,<extra_id_0> projects maintenance projects projects projects projects projects projects projects projects projects projects projects projects projects projects projects,0,138
473,Wine and menu knowledge,Wine knowledge and menu knowledge,<extra_id_0> menu menu menu menu menu menu menu menu menu menu menu menu menu menu menu menu menu menu,0,84
474,CRM and customer loyalty processes,CRM processes and customer loyalty processes,<extra_id_0> CRM and CRM process CRM and CRM process CRM CRM process CRM and CRM process CRM CRM process,0,72
475,Learning and teaching practice,Learning practice and teaching practice,<extra_id_0> Learning Learning Learning Learning Learning Learning Learning Learning practice practice Learning Learning practice practice Learning practice practice Learning,0,137
476,Reception and telephone service,Reception service and telephone service,<extra_id_0> reception and telephone service,0,17
478,New and existing customers,New customers and existing customers,<extra_id_0> and and and and and and and and and and and and and and and and and and,0,75
479,Process and requirements definition,Process definition and requirements definition,<extra_id_0>  <extra_id_1>'s''s'''',0,40
481,Cervical and facial surgery,Cervical surgery and facial surgery,<extra_id_0> and facial surgery,0,14
482,Weekend and late services,Weekend services and late services,<extra_id_0> weekend weekend weekend weekend Weekend Weekend Weekend Weekend Weekend Weekend Weekend Weekend Weekend Weekend Weekend Weekend Weekend Weekend,0,138
484,Preliminary and finishing work,Preliminary work and finishing work,<extra_id_0> and preliminary and and and and and and and and and and and and and and,0,65
485,Service and team orientation,Service orientation and team orientation,<extra_id_0>,0,35
486,Switchboard and control panel construction,Switchboard construction and control panel construction,<extra_id_0> and a s  <extra_id_1> and a s  <extra_id_2> and a ,0,54
487,Hotel and restaurant industry,Hotel industry and restaurant industry,<extra_id_0> and and and and and and and and and and and and and and and and and and,0,69
488,Heating and air conditioning technology,Heating industry and air conditioning technology,<extra_id_0> Heating technology technology Heating technology technology Heating technology technology technology Heating technology technology technology,0,117
490,Conveyor and handling technology,Conveyor technology and handling technology,<extra_id_0> and s and s and and and and and and and and and,0,47
491,Sales and negotiation skills,Sales skills and negotiation skills,<extra_id_0>,0,31
492,Private and business customers,Private customers and business customers,<extra_id_0> and s and s and  <extra_id_1> and s and  <extra_id_2> and s,0,55
495,Acquisition and construction cost planning,Acquisition planning and construction cost planning,<extra_id_0> planning planning planning planning planning planning planning planning planning,0,64
497,Credit and deposit products,Credit products and deposit products,<extra_id_0> and related and related,0,28
499,Management and personnel consulting,Management consultancy and personnel consulting,<extra_id_0> Consulting Consulting Consulting Consulting Consulting Consulting Consulting Consulting Consulting Consulting Consulting Consulting Consulting Consulting Consulting Consulting Consulting Consulting,0,179
500,Marketing and sales strategy,Marketing strategy and sales strategy,<extra_id_0> Marketing marketing marketing marketing marketing marketing marketing marketing marketing marketing marketing marketing marketing marketing marketing marketing marketing marketing,0,163
502,Further education and training,Further education and Further training,<extra_id_0>,0,33
504,Trading and industrial company,Trading company and industrial company,<extra_id_0> and s and s and and and and and and and and and and and and,0,54
505,Sand and core blasting,Sand blasting and core blasting,<extra_id_0> Sand and sand sand Sand sand sand Sand sand Sand Sand Sand Sand Sand Sand Sand Sand Sand,0,85
506,Anxiety and personality disorders,Anxiety disorders and personality disorders,<extra_id_0> and personality disorder disorders disorders disorder disorder disorder disorder disorder disorder disorder disorder disorder disorder,0,114
507,Sample and pilot fabrications,Sample fabrications and pilot fabrications,<extra_id_0> and pilot fabrications <extra_id_1> and pilot fabrications <extra_id_2> and pilot fabrications <extra_id_3> and pilot fabric,0,97
508,Contact and advice centre,Contact centre and advice centre,<extra_id_0> Contact centre Contact centre Contact centre Contact centre Contact centre Contact centre Contact centre Contact centre Contact centre,0,119
509,Residential and commercial real estate,Residential real estate and commercial real estate,<extra_id_0> and commercial real estate,0,19
