idx,input,expected_text,generated_text,input_skills_all,expected_skills_all,generated_skills_all,num_skills_all,num_gen_skills_all,percent_skills_match_all,num_skills_match_all,rouge_scores_skill_all,bleu_scores_skill_all,rouge1_avg_skill_all,rouge2_avg_skill_all,rougeL_avg_skill_all,bleu_avg_skill_all,levenshtein_skill_all,mismatched_ALL,Problem type
186," Sie <SoftSkill>können gut planen</SoftSkill>, zeichnen sich durch <SoftSkill_C>hervorragendes analytisches</SoftSkill_C> und <SoftSkill>synthetisches Denken</SoftSkill> aus und <SoftSkill>arbeiten selbstständig</SoftSkill> und <SoftSkill_C>sorgfältig</SoftSkill_C>. ->"," Sie <SoftSkill>können gut planen</SoftSkill>, zeichnen sich durch <SoftSkill>hervorragendes analytisches Denken</SoftSkill> und <SoftSkill>synthetisches Denken</SoftSkill> aus und <SoftSkill>arbeiten selbstständig</SoftSkill> und <SoftSkill>arbeiten sorgfältig</SoftSkill>."," Sie <SoftSkill>können gut planen</SoftSkill>, zeichnen sich durch <SoftSkill>hervorragendes analytisches Denken</SoftSkill> und <SoftSkill>synthetisches Denken</SoftSkill> aus und <SoftSkill>arbeiten selbstständig</SoftSkill> und <SoftSkill>arbeiten sorgfältig</SoftSkill>.","['können gut planen', 'hervorragendes analytisches', 'synthetisches Denken', 'arbeiten selbstständig', 'sorgfältig']","['können gut planen', 'hervorragendes analytisches Denken', 'synthetisches Denken', 'arbeiten selbstständig', 'arbeiten sorgfältig']","['können gut planen', 'hervorragendes analytisches Denken', 'synthetisches Denken', 'arbeiten selbstständig', 'arbeiten sorgfältig']",5,5,100.0,5.0,"[[{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}], [{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}], [{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}], [{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}], [{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}]]","[1.0, 1.0, 1.0, 1.0, 1.0]",0.9999999949999999,0.9999999949999999,0.9999999949999999,1.0,0,False,MDC
187," Dank Ihrer <SoftSkill_C>lösungsorientierten</SoftSkill_C> und <SoftSkill>proaktiven Arbeitsweise</SoftSkill> sind Sie <SoftSkill>in der Lage, gezielt Schwerpunkte zu setzen</SoftSkill> und Ihre <SoftSkill>Strategie hinsichtlich einer konkreten Vision zu implementieren</SoftSkill>. ->"," Dank Ihrer <SoftSkill>lösungsorientierten Arbeitsweise</SoftSkill> und <SoftSkill>proaktiven Arbeitsweise</SoftSkill> sind Sie <SoftSkill>in der Lage, gezielt Schwerpunkte zu setzen</SoftSkill> und Ihre <SoftSkill>Strategie hinsichtlich einer konkreten Vision zu implementieren</SoftSkill>."," Dank Ihrer <SoftSkill>lösungsorientierten Arbeitsweise</SoftSkill> und <SoftSkill>proaktiven Arbeitsweise</SoftSkill> sind Sie <SoftSkill>in der Lage, gezielt Schwerpunkte zu setzen</SoftSkill> und Ihre <SoftSkill>Strategie hinsichtlich einer konkreten Vision zu implementieren</SoftSkill>.","['lösungsorientierten', 'proaktiven Arbeitsweise', 'in der Lage, gezielt Schwerpunkte zu setzen', 'Strategie hinsichtlich einer konkreten Vision zu implementieren']","['lösungsorientierten Arbeitsweise', 'proaktiven Arbeitsweise', 'in der Lage, gezielt Schwerpunkte zu setzen', 'Strategie hinsichtlich einer konkreten Vision zu implementieren']","['lösungsorientierten Arbeitsweise', 'proaktiven Arbeitsweise', 'in der Lage, gezielt Schwerpunkte zu setzen', 'Strategie hinsichtlich einer konkreten Vision zu implementieren']",4,4,100.0,4.0,"[[{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}], [{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}], [{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}], [{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}]]","[1.0, 1.0, 1.0, 1.0]",0.999999995,0.999999995,0.999999995,1.0,0,False,OWA
188,•  <SoftSkill_C>Analytisches</SoftSkill_C> und <SoftSkill>strategisches Denkvermögen</SoftSkill> ->,<SoftSkill>Analytisches Denkvermögen</SoftSkill> und <SoftSkill>strategisches Denkvermögen</SoftSkill>,<SoftSkill>Analytisches Denkvermögen</SoftSkill> und <SoftSkill>strategisches Denkvermögen</SoftSkill>,"['Analytisches', 'strategisches Denkvermögen']","['Analytisches Denkvermögen', 'strategisches Denkvermögen']","['Analytisches Denkvermögen', 'strategisches Denkvermögen']",2,2,100.0,2.0,"[[{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}], [{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}]]","[1.0, 1.0]",0.999999995,0.999999995,0.999999995,1.0,0,False,OWA
189,Für diese abwechslungsreiche und selbständige Arbeit suchen wir eine Persönlichkeit mit <SoftSkill>guten Umgangsformen</SoftSkill> sowie einer <SoftSkill_C>gepflegten</SoftSkill_C> und <SoftSkill>freundlichen Erscheinung</SoftSkill>. ->,Für diese abwechslungsreiche und selbständige Arbeit suchen wir eine Persönlichkeit mit <SoftSkill>guten Umgangsformen</SoftSkill> sowie einer <SoftSkill>gepflegten Erscheinung</SoftSkill> und <SoftSkill>freundlichen Erscheinung</SoftSkill>.,Für diese abwechslungsreiche und selbständige Arbeit suchen wir eine Persönlichkeit mit <SoftSkill>guten Umgangsformen</SoftSkill> sowie einer <SoftSkill>gepflegten Erscheinung</SoftSkill> und <SoftSkill>freundlichen Erscheinung</SoftSkill>.,"['guten Umgangsformen', 'gepflegten', 'freundlichen Erscheinung']","['guten Umgangsformen', 'gepflegten Erscheinung', 'freundlichen Erscheinung']","['guten Umgangsformen', 'gepflegten Erscheinung', 'freundlichen Erscheinung']",3,3,100.0,3.0,"[[{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}], [{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}], [{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}]]","[1.0, 1.0, 1.0]",0.999999995,0.999999995,0.999999995,1.0,0,False,OWA
190," Ausbildung zum/zur Kaufmann/-frau EFZ oder vergleichbare Ausbildung
<SoftSkill>Freude am Kontakt mit Menschen</SoftSkill>
<SoftSkill_C>Exaktes</SoftSkill_C>, <SoftSkill_C>mitdenkendes</SoftSkill_C> und <SoftSkill>selbständiges Arbeiten</SoftSkill>
<SoftSkill>Stilsicheres Deutsch</SoftSkill>
Gute MS-Office-Kenntnisse
Führerausweis für Personenwagen Kat. ->"," Ausbildung zum/zur Kaufmann/-frau EFZ oder vergleichbare Ausbildung
<SoftSkill>Freude am Kontakt mit Menschen</SoftSkill>
<SoftSkill>Exaktes Arbeiten</SoftSkill>, <SoftSkill>mitdenkendes Arbeiten</SoftSkill> und <SoftSkill>selbständiges Arbeiten</SoftSkill>
<SoftSkill>Stilsicheres Deutsch</SoftSkill>
Gute MS-Office-Kenntnisse
Führerausweis für Personenwagen Kat."," Ausbildung zum/zur Kaufmann/-frau EFZ oder vergleichbare Ausbildung
<SoftSkill>Freude am Kontakt mit Menschen</SoftSkill>
<SoftSkill>Exaktes Arbeiten</SoftSkill>, <SoftSkill>mitdenkendes Arbeiten</SoftSkill> und <SoftSkill>selbständiges Arbeiten</SoftSkill>
<SoftSkill>Stilsicheres Deutsch</SoftSkill>
Gute MS-Office-Kenntnisse
Führerausweis für Personenwagen Kat.","['Freude am Kontakt mit Menschen', 'Exaktes', 'mitdenkendes', 'selbständiges Arbeiten', 'Stilsicheres Deutsch']","['Freude am Kontakt mit Menschen', 'Exaktes Arbeiten', 'mitdenkendes Arbeiten', 'selbständiges Arbeiten', 'Stilsicheres Deutsch']","['Freude am Kontakt mit Menschen', 'Exaktes Arbeiten', 'mitdenkendes Arbeiten', 'selbständiges Arbeiten', 'Stilsicheres Deutsch']",5,5,100.0,5.0,"[[{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}], [{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}], [{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}], [{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}], [{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}]]","[1.0, 1.0, 1.0, 1.0, 1.0]",0.9999999949999999,0.9999999949999999,0.9999999949999999,1.0,0,False,MC
191," Sie sind eine <SoftSkill_C>kunden-</SoftSkill_C> und <SoftSkill>verkaufsorientierte Persönlichkeit</SoftSkill> und verstehen es, unsere <SoftSkill>Kundschaft kompetent zu beraten</SoftSkill>. ->"," Sie sind eine <SoftSkill>kundenorientierte Persönlichkeit</SoftSkill> und <SoftSkill>verkaufsorientierte Persönlichkeit</SoftSkill> und verstehen es, unsere <SoftSkill>Kundschaft kompetent zu beraten</SoftSkill>."," Sie sind eine <SoftSkill>kundenorientierte Persönlichkeit</SoftSkill> und <SoftSkill>verkaufsorientierte Persönlichkeit</SoftSkill> und verstehen es, unsere <SoftSkill>Kundschaft kompetent zu beraten</SoftSkill>.","['kunden-', 'verkaufsorientierte Persönlichkeit', 'Kundschaft kompetent zu beraten']","['kundenorientierte Persönlichkeit', 'verkaufsorientierte Persönlichkeit', 'Kundschaft kompetent zu beraten']","['kundenorientierte Persönlichkeit', 'verkaufsorientierte Persönlichkeit', 'Kundschaft kompetent zu beraten']",3,3,100.0,3.0,"[[{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}], [{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}], [{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}]]","[1.0, 1.0, 1.0]",0.999999995,0.999999995,0.999999995,1.0,0,False,HOWA
192," Sie können <SoftSkill>vernetzt denken</SoftSkill>, <SoftSkill>selbständig handeln</SoftSkill> und sind <SoftSkill_C>team-</SoftSkill_C> und <SoftSkill>kundenorientiert</SoftSkill>. ->"," Sie können <SoftSkill>vernetzt denken</SoftSkill>, <SoftSkill>selbständig handeln</SoftSkill> und sind <SoftSkill>teamorientiert</SoftSkill> und <SoftSkill>kundenorientiert</SoftSkill>."," Sie können <SoftSkill>vernetzt denken</SoftSkill>, <SoftSkill>selbständig handeln</SoftSkill> und sind <SoftSkill>teamorientiert</SoftSkill> und <SoftSkill>kundenorientiert</SoftSkill>.","['vernetzt denken', 'selbständig handeln', 'team-', 'kundenorientiert']","['vernetzt denken', 'selbständig handeln', 'teamorientiert', 'kundenorientiert']","['vernetzt denken', 'selbständig handeln', 'teamorientiert', 'kundenorientiert']",4,4,100.0,4.0,"[[{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}], [{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}], [{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}], [{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}]]","[1.0, 1.0, 1.0, 1.0]",0.999999995,0.4999999975,0.999999995,1.0,0,False,HOWA
193," Sie verstärken unser topmotiviertes Team mit Ihrer <SoftSkill_C>aufgestellten</SoftSkill_C>, <SoftSkill_C>freundlichen</SoftSkill_C> und <SoftSkill>kollegialen Art</SoftSkill>. ->"," Sie verstärken unser topmotiviertes Team mit Ihrer <SoftSkill>aufgestellten Art</SoftSkill>, <SoftSkill>freundlichen Art</SoftSkill> und <SoftSkill>kollegialen Art</SoftSkill>."," Sie verstärken unser topmotiviertes Team mit Ihrer <SoftSkill>aufgestellten Art</SoftSkill>, <SoftSkill>freundlichen Art</SoftSkill> und <SoftSkill>kollegialen Art</SoftSkill>.","['aufgestellten', 'freundlichen', 'kollegialen Art']","['aufgestellten Art', 'freundlichen Art', 'kollegialen Art']","['aufgestellten Art', 'freundlichen Art', 'kollegialen Art']",3,3,100.0,3.0,"[[{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}], [{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}], [{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}]]","[1.0, 1.0, 1.0]",0.999999995,0.999999995,0.999999995,1.0,0,False,MC
194," Bei uns beeindrucken Sie als <SoftSkill>selbstbewusste/r Dienstleister/in</SoftSkill> durch <SoftSkill>Leidenschaft an der Arbeit</SoftSkill>, <SoftSkill>Aufmerksamkeit</SoftSkill>, <SoftSkill_C>guter Kenntnis</SoftSkill_C> und <SoftSkill>hoher Flexibilität</SoftSkill>. ->"," Bei uns beeindrucken Sie als <SoftSkill>selbstbewusste/r Dienstleister/in</SoftSkill> durch <SoftSkill>Leidenschaft an der Arbeit</SoftSkill>, <SoftSkill>Aufmerksamkeit</SoftSkill>, <SoftSkill>guter Kenntnis</SoftSkill> und <SoftSkill>hoher Flexibilität</SoftSkill>."," Bei uns beeindrucken Sie als <SoftSkill>selbstbewusste/r Dienstleister/in</SoftSkill> durch <SoftSkill>Leidenschaft an der Arbeit</SoftSkill>, <SoftSkill>Aufmerksamkeit</SoftSkill>, <SoftSkill>guter Kenntnis</SoftSkill> und <SoftSkill>hoher Flexibilität</SoftSkill>.","['selbstbewusste/r Dienstleister/in', 'Leidenschaft an der Arbeit', 'Aufmerksamkeit', 'guter Kenntnis', 'hoher Flexibilität']","['selbstbewusste/r Dienstleister/in', 'Leidenschaft an der Arbeit', 'Aufmerksamkeit', 'guter Kenntnis', 'hoher Flexibilität']","['selbstbewusste/r Dienstleister/in', 'Leidenschaft an der Arbeit', 'Aufmerksamkeit', 'guter Kenntnis', 'hoher Flexibilität']",5,5,100.0,5.0,"[[{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}], [{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}], [{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}], [{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}], [{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}]]","[1.0, 1.0, 1.0, 1.0, 1.0]",0.9999999949999999,0.799999996,0.9999999949999999,1.0,0,False,NONE
195,Persönlich zeichnen Sie sich durch eine <SoftSkill_C>selbständige</SoftSkill_C> und <SoftSkill>exakte Arbeitsweise</SoftSkill> aus und haben <SoftSkill>Spass an messtechnischen Aufgaben</SoftSkill>. ->,Persönlich zeichnen Sie sich durch eine <SoftSkill>selbständige Arbeitsweise</SoftSkill> und <SoftSkill>exakte Arbeitsweise</SoftSkill> aus und haben <SoftSkill>Spass an messtechnischen Aufgaben</SoftSkill>.,Persönlich zeichnen Sie sich durch eine <SoftSkill>selbständige Arbeitsweise</SoftSkill> und <SoftSkill>exakte Arbeitsweise</SoftSkill> aus und haben <SoftSkill>Spass an messtechnischen Aufgaben</SoftSkill>.,"['selbständige', 'exakte Arbeitsweise', 'Spass an messtechnischen Aufgaben']","['selbständige Arbeitsweise', 'exakte Arbeitsweise', 'Spass an messtechnischen Aufgaben']","['selbständige Arbeitsweise', 'exakte Arbeitsweise', 'Spass an messtechnischen Aufgaben']",3,3,100.0,3.0,"[[{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}], [{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}], [{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}]]","[1.0, 1.0, 1.0]",0.999999995,0.999999995,0.999999995,1.0,0,False,OWA
