Average Rouge-1 Score (SENTENCE),Average Rouge-2 Score (SENTENCE),Average Rouge-L Score (SENTENCE),Average Levenshtein (SENTENCE),Cosine Similarity (SENTENCE),Number of Samples,model
0.9999999949999999,0.9999999949999999,0.9999999949999999,0.0,0.9999999761581421,5,GPT3-part-2
0.9883539290776183,0.9740700674750492,0.9883539290776183,3.3333333333333335,0.999110221862793,12,GPT3-part-2
0.999999995,0.999999995,0.999999995,0.0,0.9999999610277323,26,GPT3-part-2
0.999999995,0.9918699137006927,0.999999995,1.0731707317073171,0.9993863033085335,41,GPT3-part-2
0.999999995,0.999999995,0.999999995,0.0,0.9999999403953552,2,GPT3-part-2
0.9909090859090909,0.9648288691366094,0.9909090859090909,5.7272727272727275,0.9959474747831171,11,GPT3-part-2
0.9984669493496813,0.9913966536901112,0.9984669493496813,1.3571428571428572,0.9983044543436596,56,GPT3-part-2
0.999999995,0.999999995,0.999999995,0.0,1.0,1,GPT3-part-2
0.999999995,0.9892473068285352,0.999999995,3.0,0.9992031653722128,9,GPT3-part-2
0.9986613069144062,0.9965776678175482,0.9986613069144062,0.3855421686746988,0.9997670248330358,83,GPT3-part-2
0.9982390496024567,0.9919149126523668,0.9982390496024567,1.1935483870967742,0.9991422355655701,248,GPT3-part-2
