Average Rouge-1 Score (C),Average Rouge-2 Score (C),Average Rouge-L Score (C),Average Levenshtein (C),Weighted Avg. Percentage Skills (C),Cosine Similarity (C),Number of Samples,model
0.799999996,0.6999999965,0.799999996,8.8,0.8,0.9693155765533448,5,GPT3-part-2
0.4715277749388889,0.3680555535416667,0.4715277749388889,30.416666666666668,0.5517241379310345,0.9423549696803093,12,GPT3-part-2
0.6634615350961538,0.4230769209615384,0.6634615350961538,10.307692307692308,0.6551724137931034,0.9706759269420917,26,GPT3-part-2
0.8138950436773568,0.769647692535381,0.8138950436773568,8.0,0.8275862068965517,0.9792031856571756,41,GPT3-part-2
0.874999995,0.8333333283333334,0.874999995,9.0,0.75,0.9891798198223114,2,GPT3-part-2
0.40151514924242426,0.3545454527272727,0.40151514924242426,25.181818181818183,0.4782608695652174,0.9300597490686358,11,GPT3-part-2
0.5326955747534623,0.4733630921418256,0.5326955747534623,17.464285714285715,0.36666666666666664,0.9515212292020971,56,GPT3-part-2
0.6607142807653061,0.5333333284333335,0.6607142807653061,37.0,0.5,0.9555788636207581,1,GPT3-part-2
0.11111111055555556,0.11111111055555556,0.11111111055555556,18.555555555555557,0.2,0.8901618917783102,9,GPT3-part-2
0.6179001689254978,0.6024096355421686,0.6179001689254978,9.831325301204819,0.6024096385542169,0.9690114913216556,83,GPT3-part-2
0.6057341818225018,0.5446796565685195,0.6057341818225018,13.39516129032258,0.6047197640117994,0.9609215403938421,248,GPT3-part-2
