idx,input,expected_text,generated_text,cleaned_generated_text,cleaned_expected_text,sentence_levenshtein,Problem type
186," Sie <SoftSkill>können gut planen</SoftSkill>, zeichnen sich durch <SoftSkill_C>hervorragendes analytisches</SoftSkill_C> und <SoftSkill>synthetisches Denken</SoftSkill> aus und <SoftSkill>arbeiten selbstständig</SoftSkill> und <SoftSkill_C>sorgfältig</SoftSkill_C>. ->"," Sie <SoftSkill>können gut planen</SoftSkill>, zeichnen sich durch <SoftSkill>hervorragendes analytisches Denken</SoftSkill> und <SoftSkill>synthetisches Denken</SoftSkill> aus und <SoftSkill>arbeiten selbstständig</SoftSkill> und <SoftSkill>arbeiten sorgfältig</SoftSkill>."," Sie <SoftSkill>können gut planen</SoftSkill>, zeichnen sich durch <SoftSkill>hervorragendes analytisches Denken</SoftSkill> und <SoftSkill>synthetisches Denken</SoftSkill> aus und <SoftSkill>arbeiten selbstständig</SoftSkill> und <SoftSkill>arbeiten sorgfältig</SoftSkill>."," Sie können gut planen, zeichnen sich durch hervorragendes analytisches Denken und synthetisches Denken aus und arbeiten selbstständig und arbeiten sorgfältig."," Sie können gut planen, zeichnen sich durch hervorragendes analytisches Denken und synthetisches Denken aus und arbeiten selbstständig und arbeiten sorgfältig.",0,MDC
187," Dank Ihrer <SoftSkill_C>lösungsorientierten</SoftSkill_C> und <SoftSkill>proaktiven Arbeitsweise</SoftSkill> sind Sie <SoftSkill>in der Lage, gezielt Schwerpunkte zu setzen</SoftSkill> und Ihre <SoftSkill>Strategie hinsichtlich einer konkreten Vision zu implementieren</SoftSkill>. ->"," Dank Ihrer <SoftSkill>lösungsorientierten Arbeitsweise</SoftSkill> und <SoftSkill>proaktiven Arbeitsweise</SoftSkill> sind Sie <SoftSkill>in der Lage, gezielt Schwerpunkte zu setzen</SoftSkill> und Ihre <SoftSkill>Strategie hinsichtlich einer konkreten Vision zu implementieren</SoftSkill>."," Dank Ihrer <SoftSkill>lösungsorientierten Arbeitsweise</SoftSkill> und <SoftSkill>proaktiven Arbeitsweise</SoftSkill> sind Sie <SoftSkill>in der Lage, gezielt Schwerpunkte zu setzen</SoftSkill> und Ihre <SoftSkill>Strategie hinsichtlich einer konkreten Vision zu implementieren</SoftSkill>."," Dank Ihrer lösungsorientierten Arbeitsweise und proaktiven Arbeitsweise sind Sie in der Lage, gezielt Schwerpunkte zu setzen und Ihre Strategie hinsichtlich einer konkreten Vision zu implementieren."," Dank Ihrer lösungsorientierten Arbeitsweise und proaktiven Arbeitsweise sind Sie in der Lage, gezielt Schwerpunkte zu setzen und Ihre Strategie hinsichtlich einer konkreten Vision zu implementieren.",0,OWA
188,•  <SoftSkill_C>Analytisches</SoftSkill_C> und <SoftSkill>strategisches Denkvermögen</SoftSkill> ->,<SoftSkill>Analytisches Denkvermögen</SoftSkill> und <SoftSkill>strategisches Denkvermögen</SoftSkill>,<SoftSkill>Analytisches Denkvermögen</SoftSkill> und <SoftSkill>strategisches Denkvermögen</SoftSkill>,Analytisches Denkvermögen und strategisches Denkvermögen,Analytisches Denkvermögen und strategisches Denkvermögen,0,OWA
189,Für diese abwechslungsreiche und selbständige Arbeit suchen wir eine Persönlichkeit mit <SoftSkill>guten Umgangsformen</SoftSkill> sowie einer <SoftSkill_C>gepflegten</SoftSkill_C> und <SoftSkill>freundlichen Erscheinung</SoftSkill>. ->,Für diese abwechslungsreiche und selbständige Arbeit suchen wir eine Persönlichkeit mit <SoftSkill>guten Umgangsformen</SoftSkill> sowie einer <SoftSkill>gepflegten Erscheinung</SoftSkill> und <SoftSkill>freundlichen Erscheinung</SoftSkill>.,Für diese abwechslungsreiche und selbständige Arbeit suchen wir eine Persönlichkeit mit <SoftSkill>guten Umgangsformen</SoftSkill> sowie einer <SoftSkill>gepflegten Erscheinung</SoftSkill> und <SoftSkill>freundlichen Erscheinung</SoftSkill>.,Für diese abwechslungsreiche und selbständige Arbeit suchen wir eine Persönlichkeit mit guten Umgangsformen sowie einer gepflegten Erscheinung und freundlichen Erscheinung.,Für diese abwechslungsreiche und selbständige Arbeit suchen wir eine Persönlichkeit mit guten Umgangsformen sowie einer gepflegten Erscheinung und freundlichen Erscheinung.,0,OWA
190," Ausbildung zum/zur Kaufmann/-frau EFZ oder vergleichbare Ausbildung
<SoftSkill>Freude am Kontakt mit Menschen</SoftSkill>
<SoftSkill_C>Exaktes</SoftSkill_C>, <SoftSkill_C>mitdenkendes</SoftSkill_C> und <SoftSkill>selbständiges Arbeiten</SoftSkill>
<SoftSkill>Stilsicheres Deutsch</SoftSkill>
Gute MS-Office-Kenntnisse
Führerausweis für Personenwagen Kat. ->"," Ausbildung zum/zur Kaufmann/-frau EFZ oder vergleichbare Ausbildung
<SoftSkill>Freude am Kontakt mit Menschen</SoftSkill>
<SoftSkill>Exaktes Arbeiten</SoftSkill>, <SoftSkill>mitdenkendes Arbeiten</SoftSkill> und <SoftSkill>selbständiges Arbeiten</SoftSkill>
<SoftSkill>Stilsicheres Deutsch</SoftSkill>
Gute MS-Office-Kenntnisse
Führerausweis für Personenwagen Kat."," Ausbildung zum/zur Kaufmann/-frau EFZ oder vergleichbare Ausbildung
<SoftSkill>Freude am Kontakt mit Menschen</SoftSkill>
<SoftSkill>Exaktes Arbeiten</SoftSkill>, <SoftSkill>mitdenkendes Arbeiten</SoftSkill> und <SoftSkill>selbständiges Arbeiten</SoftSkill>
<SoftSkill>Stilsicheres Deutsch</SoftSkill>
Gute MS-Office-Kenntnisse
Führerausweis für Personenwagen Kat."," Ausbildung zum/zur Kaufmann/-frau EFZ oder vergleichbare Ausbildung Freude am Kontakt mit Menschen Exaktes Arbeiten, mitdenkendes Arbeiten und selbständiges Arbeiten Stilsicheres Deutsch Gute MS-Office-Kenntnisse Führerausweis für Personenwagen Kat."," Ausbildung zum/zur Kaufmann/-frau EFZ oder vergleichbare Ausbildung Freude am Kontakt mit Menschen Exaktes Arbeiten, mitdenkendes Arbeiten und selbständiges Arbeiten Stilsicheres Deutsch Gute MS-Office-Kenntnisse Führerausweis für Personenwagen Kat.",0,MC
191," Sie sind eine <SoftSkill_C>kunden-</SoftSkill_C> und <SoftSkill>verkaufsorientierte Persönlichkeit</SoftSkill> und verstehen es, unsere <SoftSkill>Kundschaft kompetent zu beraten</SoftSkill>. ->"," Sie sind eine <SoftSkill>kundenorientierte Persönlichkeit</SoftSkill> und <SoftSkill>verkaufsorientierte Persönlichkeit</SoftSkill> und verstehen es, unsere <SoftSkill>Kundschaft kompetent zu beraten</SoftSkill>."," Sie sind eine <SoftSkill>kundenorientierte Persönlichkeit</SoftSkill> und <SoftSkill>verkaufsorientierte Persönlichkeit</SoftSkill> und verstehen es, unsere <SoftSkill>Kundschaft kompetent zu beraten</SoftSkill>."," Sie sind eine kundenorientierte Persönlichkeit und verkaufsorientierte Persönlichkeit und verstehen es, unsere Kundschaft kompetent zu beraten."," Sie sind eine kundenorientierte Persönlichkeit und verkaufsorientierte Persönlichkeit und verstehen es, unsere Kundschaft kompetent zu beraten.",0,HOWA
192," Sie können <SoftSkill>vernetzt denken</SoftSkill>, <SoftSkill>selbständig handeln</SoftSkill> und sind <SoftSkill_C>team-</SoftSkill_C> und <SoftSkill>kundenorientiert</SoftSkill>. ->"," Sie können <SoftSkill>vernetzt denken</SoftSkill>, <SoftSkill>selbständig handeln</SoftSkill> und sind <SoftSkill>teamorientiert</SoftSkill> und <SoftSkill>kundenorientiert</SoftSkill>."," Sie können <SoftSkill>vernetzt denken</SoftSkill>, <SoftSkill>selbständig handeln</SoftSkill> und sind <SoftSkill>teamorientiert</SoftSkill> und <SoftSkill>kundenorientiert</SoftSkill>."," Sie können vernetzt denken, selbständig handeln und sind teamorientiert und kundenorientiert."," Sie können vernetzt denken, selbständig handeln und sind teamorientiert und kundenorientiert.",0,HOWA
193," Sie verstärken unser topmotiviertes Team mit Ihrer <SoftSkill_C>aufgestellten</SoftSkill_C>, <SoftSkill_C>freundlichen</SoftSkill_C> und <SoftSkill>kollegialen Art</SoftSkill>. ->"," Sie verstärken unser topmotiviertes Team mit Ihrer <SoftSkill>aufgestellten Art</SoftSkill>, <SoftSkill>freundlichen Art</SoftSkill> und <SoftSkill>kollegialen Art</SoftSkill>."," Sie verstärken unser topmotiviertes Team mit Ihrer <SoftSkill>aufgestellten Art</SoftSkill>, <SoftSkill>freundlichen Art</SoftSkill> und <SoftSkill>kollegialen Art</SoftSkill>."," Sie verstärken unser topmotiviertes Team mit Ihrer aufgestellten Art, freundlichen Art und kollegialen Art."," Sie verstärken unser topmotiviertes Team mit Ihrer aufgestellten Art, freundlichen Art und kollegialen Art.",0,MC
194," Bei uns beeindrucken Sie als <SoftSkill>selbstbewusste/r Dienstleister/in</SoftSkill> durch <SoftSkill>Leidenschaft an der Arbeit</SoftSkill>, <SoftSkill>Aufmerksamkeit</SoftSkill>, <SoftSkill_C>guter Kenntnis</SoftSkill_C> und <SoftSkill>hoher Flexibilität</SoftSkill>. ->"," Bei uns beeindrucken Sie als <SoftSkill>selbstbewusste/r Dienstleister/in</SoftSkill> durch <SoftSkill>Leidenschaft an der Arbeit</SoftSkill>, <SoftSkill>Aufmerksamkeit</SoftSkill>, <SoftSkill>guter Kenntnis</SoftSkill> und <SoftSkill>hoher Flexibilität</SoftSkill>."," Bei uns beeindrucken Sie als <SoftSkill>selbstbewusste/r Dienstleister/in</SoftSkill> durch <SoftSkill>Leidenschaft an der Arbeit</SoftSkill>, <SoftSkill>Aufmerksamkeit</SoftSkill>, <SoftSkill>guter Kenntnis</SoftSkill> und <SoftSkill>hoher Flexibilität</SoftSkill>."," Bei uns beeindrucken Sie als selbstbewusste/r Dienstleister/in durch Leidenschaft an der Arbeit, Aufmerksamkeit, guter Kenntnis und hoher Flexibilität."," Bei uns beeindrucken Sie als selbstbewusste/r Dienstleister/in durch Leidenschaft an der Arbeit, Aufmerksamkeit, guter Kenntnis und hoher Flexibilität.",0,NONE
195,Persönlich zeichnen Sie sich durch eine <SoftSkill_C>selbständige</SoftSkill_C> und <SoftSkill>exakte Arbeitsweise</SoftSkill> aus und haben <SoftSkill>Spass an messtechnischen Aufgaben</SoftSkill>. ->,Persönlich zeichnen Sie sich durch eine <SoftSkill>selbständige Arbeitsweise</SoftSkill> und <SoftSkill>exakte Arbeitsweise</SoftSkill> aus und haben <SoftSkill>Spass an messtechnischen Aufgaben</SoftSkill>.,Persönlich zeichnen Sie sich durch eine <SoftSkill>selbständige Arbeitsweise</SoftSkill> und <SoftSkill>exakte Arbeitsweise</SoftSkill> aus und haben <SoftSkill>Spass an messtechnischen Aufgaben</SoftSkill>.,Persönlich zeichnen Sie sich durch eine selbständige Arbeitsweise und exakte Arbeitsweise aus und haben Spass an messtechnischen Aufgaben.,Persönlich zeichnen Sie sich durch eine selbständige Arbeitsweise und exakte Arbeitsweise aus und haben Spass an messtechnischen Aufgaben.,0,OWA
